Home,Away,Date,Venue
Saints,Panthers,8 Sept,Mercedes-Benz Superdome
Giants,Vikings,8 Sept,MetLife Stadium
Bengals,Patriots,8 Sept,Paul Brown Stadium
Falcons,Steelers,8 Sept,Mercedes-Benz Stadium
Colts,Texans,8 Sept,Lucas Oil Stadium
Bills,Cardinals,8 Sept,Bills Stadium
Bears,Titans,8 Sept,Soldier Field
Dolphins,Jaguars,8 Sept,Hard Rock Stadium
Seahawks,Broncos,9 Sept,Lumen Field
Chargers,Raiders,9 Sept,SoFi Stadium
Browns,Cowboys,9 Sept,FirstEnergy Stadium
Buccaneers,Commanders,9 Sept,Raymond James Stadium
Lions,Rams,9 Sept,Ford Field
49ers,Jets,10 Sept,Levi's Stadium
Week 2 of 18,,,
Dolphins,Bills,13 Sept,Hard Rock Stadium
Vikings,49ers,15 Sept,U.S. Bank Stadium
Patriots,Seahawks,15 Sept,Gillette Stadium
Commanders,Giants,15 Sept,FedExField
Panthers,Chargers,15 Sept,Bank of America Stadium
Cowboys,Saints,15 Sept,AT&T Stadium
Packers,Colts,15 Sept,Lambeau Field
Jaguars,Browns,15 Sept,TIAA Bank Field
Titans,Jets,15 Sept,Nissan Stadium
Lions,Buccaneers,15 Sept,Ford Field
Ravens,Raiders,15 Sept,M&T Bank Stadium
Cardinals,Rams,16 Sept,University of Phoenix Stadium
Chiefs,Bengals,16 Sept,Arrowhead Stadium
Broncos,Steelers,16 Sept,Empower Field at Mile High
Texans,Bears,16 Sept,NRG Stadium
Eagles,Falcons,17 Sept,Lincoln Financial Field
Week 3 of 18,,,
Jets,Patriots,20 Sept,MetLife Stadium
Browns,Giants,22 Sept,FirstEnergy Stadium
Saints,Eagles,22 Sept,Mercedes-Benz Superdome
Vikings,Texans,22 Sept,U.S. Bank Stadium
Buccaneers,Broncos,22 Sept,Raymond James Stadium
Titans,Packers,22 Sept,Nissan Stadium
Colts,Bears,22 Sept,Lucas Oil Stadium
Steelers,Chargers,22 Sept,Acrisure Stadium
Seahawks,Dolphins,23 Sept,Lumen Field
Raiders,Panthers,23 Sept,Allegiant Stadium
Rams,49ers,23 Sept,SoFi Stadium
Cardinals,Lions,23 Sept,University of Phoenix Stadium
Cowboys,Ravens,23 Sept,AT&T Stadium
Falcons,Chiefs,23 Sept,Mercedes-Benz Stadium
Bills,Jaguars,24 Sept,Bills Stadium
Bengals,Commanders,24 Sept,Paul Brown Stadium
Week 4 of 18,,,
Giants,Cowboys,27 Sept,MetLife Stadium
Panthers,Bengals,29 Sept,Bank of America Stadium
Falcons,Saints,29 Sept,Mercedes-Benz Stadium
Texans,Jaguars,29 Sept,NRG Stadium
Jets,Broncos,29 Sept,MetLife Stadium
Packers,Vikings,29 Sept,Lambeau Field
Colts,Steelers,29 Sept,Lucas Oil Stadium
Bears,Rams,29 Sept,Soldier Field
Buccaneers,Eagles,29 Sept,Raymond James Stadium
49ers,Patriots,30 Sept,Levi's Stadium
Cardinals,Commanders,30 Sept,University of Phoenix Stadium
Chargers,Chiefs,30 Sept,SoFi Stadium
Raiders,Browns,30 Sept,Allegiant Stadium
Ravens,Bills,30 Sept,M&T Bank Stadium
Dolphins,Titans,1 Oct,Hard Rock Stadium
Lions,Seahawks,1 Oct,Ford Field
Week 5 of 18,,,
Falcons,Buccaneers,4 Oct,Mercedes-Benz Stadium
Vikings,Jets,6 Oct,Northumberland Development Project
Bears,Panthers,6 Oct,Soldier Field
Commanders,Browns,6 Oct,FedExField
Patriots,Dolphins,6 Oct,Gillette Stadium
Jaguars,Colts,6 Oct,TIAA Bank Field
Texans,Bills,6 Oct,NRG Stadium
Bengals,Ravens,6 Oct,Paul Brown Stadium
Broncos,Raiders,7 Oct,Empower Field at Mile High
49ers,Cardinals,7 Oct,Levi's Stadium
Seahawks,Giants,7 Oct,Lumen Field
Rams,Packers,7 Oct,SoFi Stadium
Steelers,Cowboys,7 Oct,Acrisure Stadium
Chiefs,Saints,8 Oct,Arrowhead Stadium
Seahawks,49ers,11 Oct,Lumen Field
Bears,Jaguars,13 Oct,Northumberland Development Project
Week 6 of 18,,,
Saints,Buccaneers,13 Oct,Mercedes-Benz Superdome
Ravens,Commanders,13 Oct,M&T Bank Stadium
Packers,Cardinals,13 Oct,Lambeau Field
Titans,Colts,13 Oct,Nissan Stadium
Patriots,Texans,13 Oct,Gillette Stadium
Eagles,Browns,13 Oct,Lincoln Financial Field
Broncos,Chargers,14 Oct,Empower Field at Mile High
Raiders,Steelers,14 Oct,Allegiant Stadium
Panthers,Falcons,14 Oct,Bank of America Stadium
Cowboys,Lions,14 Oct,AT&T Stadium
Giants,Bengals,14 Oct,MetLife Stadium
Jets,Bills,15 Oct,MetLife Stadium
Saints,Broncos,18 Oct,Mercedes-Benz Superdome
Jaguars,Patriots,20 Oct,Wembley Stadium
Vikings,Lions,20 Oct,U.S. Bank Stadium
Bills,Titans,20 Oct,Bills Stadium
Week 7 of 18,,,
Colts,Dolphins,20 Oct,Lucas Oil Stadium
Falcons,Seahawks,20 Oct,Mercedes-Benz Stadium
Packers,Texans,20 Oct,Lambeau Field
Browns,Bengals,20 Oct,FirstEnergy Stadium
Giants,Eagles,20 Oct,MetLife Stadium
Rams,Raiders,21 Oct,SoFi Stadium
Commanders,Panthers,21 Oct,FedExField
49ers,Chiefs,21 Oct,Levi's Stadium
Steelers,Jets,21 Oct,Acrisure Stadium
Buccaneers,Ravens,22 Oct,Raymond James Stadium
Cardinals,Chargers,22 Oct,University of Phoenix Stadium
Rams,Vikings,25 Oct,SoFi Stadium
Commanders,Bears,27 Oct,FedExField
Jaguars,Packers,27 Oct,TIAA Bank Field
Dolphins,Cardinals,27 Oct,Hard Rock Stadium
Patriots,Jets,27 Oct,Gillette Stadium
Week 8 of 18,,,
Browns,Ravens,27 Oct,FirstEnergy Stadium
Texans,Colts,27 Oct,NRG Stadium
Lions,Titans,27 Oct,Ford Field
Buccaneers,Falcons,27 Oct,Raymond James Stadium
Chargers,Saints,28 Oct,SoFi Stadium
Seahawks,Bills,28 Oct,Lumen Field
Raiders,Chiefs,28 Oct,Allegiant Stadium
Broncos,Panthers,28 Oct,Empower Field at Mile High
Bengals,Eagles,28 Oct,Paul Brown Stadium
49ers,Cowboys,28 Oct,Levi's Stadium
Steelers,Giants,29 Oct,Acrisure Stadium
Jets,Texans,1 Nov,MetLife Stadium
Panthers,Saints,3 Nov,Bank of America Stadium
Giants,Commanders,3 Nov,MetLife Stadium
Bills,Dolphins,3 Nov,Bills Stadium
Browns,Chargers,3 Nov,FirstEnergy Stadium
Week 9 of 18,,,
Titans,Patriots,3 Nov,Nissan Stadium
Vikings,Colts,3 Nov,U.S. Bank Stadium
Falcons,Cowboys,3 Nov,Mercedes-Benz Stadium
Bengals,Raiders,3 Nov,Paul Brown Stadium
Ravens,Broncos,3 Nov,M&T Bank Stadium
Cardinals,Bears,4 Nov,University of Phoenix Stadium
Seahawks,Rams,4 Nov,Lumen Field
Packers,Lions,4 Nov,Lambeau Field
Eagles,Jaguars,4 Nov,Lincoln Financial Field
Chiefs,Buccaneers,5 Nov,Arrowhead Stadium
Ravens,Bengals,8 Nov,M&T Bank Stadium
Panthers,Giants,10 Nov,Allianz Arena
Bears,Patriots,10 Nov,Soldier Field
Buccaneers,49ers,10 Nov,Raymond James Stadium
Chiefs,Broncos,10 Nov,Arrowhead Stadium
Colts,Bills,10 Nov,Lucas Oil Stadium
Week 10 of 18,,,
Commanders,Steelers,10 Nov,FedExField
Jaguars,Vikings,10 Nov,TIAA Bank Field
Saints,Falcons,10 Nov,Mercedes-Benz Superdome
Chargers,Titans,11 Nov,SoFi Stadium
Cardinals,Jets,11 Nov,University of Phoenix Stadium
Cowboys,Eagles,11 Nov,AT&T Stadium
Texans,Lions,11 Nov,NRG Stadium
Rams,Dolphins,12 Nov,SoFi Stadium
Eagles,Commanders,15 Nov,Lincoln Financial Field
Dolphins,Raiders,17 Nov,Hard Rock Stadium
Saints,Browns,17 Nov,Mercedes-Benz Superdome
Titans,Vikings,17 Nov,Nissan Stadium
Bears,Packers,17 Nov,Soldier Field
Lions,Jaguars,17 Nov,Ford Field
Patriots,Rams,17 Nov,Gillette Stadium
Steelers,Ravens,17 Nov,Acrisure Stadium
Week 11 of 18,,,
49ers,Seahawks,18 Nov,Levi's Stadium
Broncos,Falcons,18 Nov,Empower Field at Mile High
Bills,Chiefs,18 Nov,Bills Stadium
Chargers,Bengals,18 Nov,SoFi Stadium
Jets,Colts,18 Nov,MetLife Stadium
Cowboys,Texans,19 Nov,AT&T Stadium
Browns,Steelers,22 Nov 24,FirstEnergy Stadium
Texans,Titans,24 Nov 24,NRG Stadium
Bears,Vikings,24 Nov 24,Soldier Field
Commanders,Cowboys,24 Nov 24,FedExField
Dolphins,Patriots,24 Nov 24,Hard Rock Stadium
Panthers,Chiefs,24 Nov 24,Bank of America Stadium
Giants,Buccaneers,24 Nov 24,MetLife Stadium
Colts,Lions,24 Nov 24,Lucas Oil Stadium
Raiders,Broncos,25 Nov 24,Allegiant Stadium
Seahawks,Cardinals,25 Nov 24,Lumen Field
Week 12 of 18,,,
Packers,49ers,25 Nov 24,Lambeau Field
Rams,Eagles,25 Nov 24,SoFi Stadium
Chargers,Ravens,26 Nov 24,SoFi Stadium
Lions,Bears,28 Nov 24,Ford Field
Cowboys,Giants,29 Nov 24,AT&T Stadium
Packers,Dolphins,29 Nov 24,Lambeau Field
Chiefs,Raiders,30 Nov 24,Arrowhead Stadium
Jaguars,Texans,1 Dec 24,TIAA Bank Field
Patriots,Colts,1 Dec 24,Gillette Stadium
Falcons,Chargers,1 Dec 24,Mercedes-Benz Stadium
Jets,Seahawks,1 Dec 24,MetLife Stadium
Commanders,Titans,1 Dec 24,FedExField
Bengals,Steelers,1 Dec 24,Paul Brown Stadium
Vikings,Cardinals,1 Dec 24,U.S. Bank Stadium
Saints,Rams,2 Dec 24,Mercedes-Benz Superdome
Panthers,Buccaneers,2 Dec 24,Bank of America Stadium
Week 13 of 18,,,
Ravens,Eagles,2 Dec 24,M&T Bank Stadium
Bills,49ers,2 Dec 24,Bills Stadium
Broncos,Browns,3 Dec 24,Empower Field at Mile High
Lions,Packers,6 Dec 24,Ford Field
Steelers,Browns,8 Dec 24,Acrisure Stadium
Giants,Saints,8 Dec 24,MetLife Stadium
Dolphins,Jets,8 Dec 24,Hard Rock Stadium
Titans,Jaguars,8 Dec 24,Nissan Stadium
Vikings,Falcons,8 Dec 24,U.S. Bank Stadium
Eagles,Panthers,8 Dec 24,Lincoln Financial Field
Buccaneers,Raiders,8 Dec 24,Raymond James Stadium
Cardinals,Seahawks,9 Dec 24,University of Phoenix Stadium
49ers,Bears,9 Dec 24,Levi's Stadium
Rams,Bills,9 Dec 24,SoFi Stadium
Chiefs,Chargers,9 Dec 24,Arrowhead Stadium
Cowboys,Bengals,10 Dec 24,AT&T Stadium
Week 14 of 18,,,
49ers,Rams,13 Dec 24,Levi's Stadium
Saints,Commanders,15 Dec 24,Mercedes-Benz Superdome
Browns,Chiefs,15 Dec 24,FirstEnergy Stadium
Titans,Bengals,15 Dec 24,Nissan Stadium
Texans,Dolphins,15 Dec 24,NRG Stadium
Giants,Ravens,15 Dec 24,MetLife Stadium
Jaguars,Jets,15 Dec 24,TIAA Bank Field
Panthers,Cowboys,15 Dec 24,Bank of America Stadium
Chargers,Buccaneers,16 Dec 24,SoFi Stadium
Broncos,Colts,16 Dec 24,Empower Field at Mile High
Cardinals,Patriots,16 Dec 24,University of Phoenix Stadium
Lions,Bills,16 Dec 24,Ford Field
Eagles,Steelers,16 Dec 24,Lincoln Financial Field
Seahawks,Packers,16 Dec 24,Lumen Field
Vikings,Bears,17 Dec 24,U.S. Bank Stadium
Raiders,Falcons,17 Dec 24,Allegiant Stadium
Week 15 of 18,,,
Bengals,Browns,20 Dec 24,Paul Brown Stadium
Chiefs,Texans,21 Dec 24,Arrowhead Stadium
Ravens,Steelers,22 Dec 24,M&T Bank Stadium
Bills,Patriots,22 Dec 24,Bills Stadium
Falcons,Giants,22 Dec 24,Mercedes-Benz Stadium
Bears,Lions,22 Dec 24,Soldier Field
Panthers,Cardinals,22 Dec 24,Bank of America Stadium
Jets,Rams,22 Dec 24,MetLife Stadium
Commanders,Eagles,22 Dec 24,FedExField
Colts,Titans,22 Dec 24,Lucas Oil Stadium
Chargers,Broncos,23 Dec 24,SoFi Stadium
Seahawks,Vikings,23 Dec 24,Lumen Field
Raiders,Jaguars,23 Dec 24,Allegiant Stadium
Dolphins,49ers,23 Dec 24,Hard Rock Stadium
Cowboys,Buccaneers,23 Dec 24,AT&T Stadium
Packers,Saints,24 Dec 24,Lambeau Field
Week 16 of 18,,,
Steelers,Chiefs,25 Dec 24,Acrisure Stadium
Texans,Ravens,26 Dec 24,NRG Stadium
Bears,Seahawks,27 Dec 24,Soldier Field
Commanders,Falcons,29 Dec 24,FedExField
Patriots,Chargers,29 Dec 24,Gillette Stadium
Bengals,Broncos,29 Dec 24,Paul Brown Stadium
Giants,Colts,29 Dec 24,MetLife Stadium
Rams,Cardinals,29 Dec 24,SoFi Stadium
Buccaneers,Panthers,29 Dec 24,Raymond James Stadium
Bills,Jets,29 Dec 24,Bills Stadium
Vikings,Packers,29 Dec 24,U.S. Bank Stadium
Saints,Raiders,29 Dec 24,Mercedes-Benz Superdome
Jaguars,Titans,29 Dec 24,TIAA Bank Field
Eagles,Cowboys,30 Dec 24,Lincoln Financial Field
Browns,Dolphins,30 Dec 24,FirstEnergy Stadium
49ers,Lions,31 Dec 24,Levi's Stadium
Week 17 of 18,,,
Ravens,Browns,5 Jan 25,M&T Bank Stadium
Raiders,Chargers,5 Jan 25,Allegiant Stadium
Steelers,Bengals,5 Jan 25,Acrisure Stadium
Cardinals,49ers,5 Jan 25,University of Phoenix Stadium
Falcons,Panthers,5 Jan 25,Mercedes-Benz Stadium
Broncos,Chiefs,5 Jan 25,Empower Field at Mile High
Rams,Seahawks,5 Jan 25,SoFi Stadium
Titans,Texans,5 Jan 25,Nissan Stadium
Eagles,Giants,5 Jan 25,Lincoln Financial Field
Colts,Jaguars,5 Jan 25,Lucas Oil Stadium
Lions,Vikings,5 Jan 25,Ford Field
Cowboys,Commanders,5 Jan 25,AT&T Stadium
Packers,Bears,5 Jan 25,Lambeau Field
Jets,Dolphins,5 Jan 25,MetLife Stadium
Buccaneers,Saints,5 Jan 25,Raymond James Stadium
Patriots,Bills,5 Jan 25,Gillette Stadium
