Home,Away,Date
Browns,Ravens,27 Oct
Texans,Colts,27 Oct
Lions,Titans,27 Oct
Buccaneers,Falcons,27 Oct
Chargers,Saints,28 Oct
Seahawks,Bills,28 Oct
Raiders,Chiefs,28 Oct
Broncos,Panthers,28 Oct
Bengals,Eagles,28 Oct
49ers,Cowboys,28 Oct
Steelers,Giants,29 Oct
Jets,Texans,1 Nov
Panthers,Saints,3 Nov
Giants,Commanders,3 Nov
Bills,Dolphins,3 Nov
Browns,Chargers,3 Nov
Week 9 of 18,,
Titans,Patriots,3 Nov
Vikings,Colts,3 Nov
Falcons,Cowboys,3 Nov
Bengals,Raiders,3 Nov
Ravens,Broncos,3 Nov
Cardinals,Bears,4 Nov
Seahawks,Rams,4 Nov
Packers,Lions,4 Nov
Eagles,Jaguars,4 Nov
Chiefs,Buccaneers,5 Nov
Ravens,Bengals,8 Nov
Panthers,Giants,10 Nov
Bears,Patriots,10 Nov
Buccaneers,49ers,10 Nov
Chiefs,Broncos,10 Nov
Colts,Bills,10 Nov
Week 10 of 18,,
Commanders,Steelers,10 Nov
Jaguars,Vikings,10 Nov
Saints,Falcons,10 Nov
Chargers,Titans,11 Nov
Cardinals,Jets,11 Nov
Cowboys,Eagles,11 Nov
Texans,Lions,11 Nov
Rams,Dolphins,12 Nov
Eagles,Commanders,15 Nov
Dolphins,Raiders,17 Nov
Saints,Browns,17 Nov
Titans,Vikings,17 Nov
Bears,Packers,17 Nov
Lions,Jaguars,17 Nov
Patriots,Rams,17 Nov
Steelers,Ravens,17 Nov
Week 11 of 18,,
49ers,Seahawks,18 Nov
Broncos,Falcons,18 Nov
Bills,Chiefs,18 Nov
Chargers,Bengals,18 Nov
Jets,Colts,18 Nov
Cowboys,Texans,19 Nov 24
Browns,Steelers,22 Nov 24
Texans,Titans,24 Nov 24
Bears,Vikings,24 Nov 24
Commanders,Cowboys,24 Nov 24
Dolphins,Patriots,24 Nov 24
Panthers,Chiefs,24 Nov 24
Giants,Buccaneers,24 Nov 24
Colts,Lions,24 Nov 24
Raiders,Broncos,25 Nov 24
Seahawks,Cardinals,25 Nov 24
Week 12 of 18,,
Packers,49ers,25 Nov 24
Rams,Eagles,25 Nov 24
Chargers,Ravens,26 Nov 24
Lions,Bears,28 Nov 24
Cowboys,Giants,29 Nov 24
Packers,Dolphins,29 Nov 24
Chiefs,Raiders,30 Nov 24
Jaguars,Texans,1 Dec 24
Patriots,Colts,1 Dec 24
Falcons,Chargers,1 Dec 24
Jets,Seahawks,1 Dec 24
Commanders,Titans,1 Dec 24
Bengals,Steelers,1 Dec 24
Vikings,Cardinals,1 Dec 24
Saints,Rams,2 Dec 24
Panthers,Buccaneers,2 Dec 24
Week 13 of 18,,
Ravens,Eagles,2 Dec 24
Bills,49ers,2 Dec 24
Broncos,Browns,3 Dec 24
Lions,Packers,6 Dec 24
Steelers,Browns,8 Dec 24
Giants,Saints,8 Dec 24
Dolphins,Jets,8 Dec 24
Titans,Jaguars,8 Dec 24
Vikings,Falcons,8 Dec 24
Eagles,Panthers,8 Dec 24
Buccaneers,Raiders,8 Dec 24
Cardinals,Seahawks,9 Dec 24
49ers,Bears,9 Dec 24
Rams,Bills,9 Dec 24
Chiefs,Chargers,9 Dec 24
Cowboys,Bengals,10 Dec 24
Week 14 of 18,,
49ers,Rams,13 Dec 24
Saints,Commanders,15 Dec 24
Browns,Chiefs,15 Dec 24
Titans,Bengals,15 Dec 24
Texans,Dolphins,15 Dec 24
Giants,Ravens,15 Dec 24
Jaguars,Jets,15 Dec 24
Panthers,Cowboys,15 Dec 24
Chargers,Buccaneers,16 Dec 24
Broncos,Colts,16 Dec 24
Cardinals,Patriots,16 Dec 24
Lions,Bills,16 Dec 24
Eagles,Steelers,16 Dec 24
Seahawks,Packers,16 Dec 24
Vikings,Bears,17 Dec 24
Raiders,Falcons,17 Dec 24
Week 15 of 18,,
Bengals,Browns,20 Dec 24
Chiefs,Texans,21 Dec 24
Ravens,Steelers,22 Dec 24
Bills,Patriots,22 Dec 24
Falcons,Giants,22 Dec 24
Bears,Lions,22 Dec 24
Panthers,Cardinals,22 Dec 24
Jets,Rams,22 Dec 24
Commanders,Eagles,22 Dec 24
Colts,Titans,22 Dec 24
Chargers,Broncos,23 Dec 24
Seahawks,Vikings,23 Dec 24
Raiders,Jaguars,23 Dec 24
Dolphins,49ers,23 Dec 24
Cowboys,Buccaneers,23 Dec 24
Packers,Saints,24 Dec 24
Week 16 of 18,,
Steelers,Chiefs,25 Dec 24
Texans,Ravens,26 Dec 24
Bears,Seahawks,27 Dec 24
Commanders,Falcons,29 Dec 24
Patriots,Chargers,29 Dec 24
Bengals,Broncos,29 Dec 24
Giants,Colts,29 Dec 24
Rams,Cardinals,29 Dec 24
Buccaneers,Panthers,29 Dec 24
Bills,Jets,29 Dec 24
Vikings,Packers,29 Dec 24
Saints,Raiders,29 Dec 24
Jaguars,Titans,29 Dec 24
Eagles,Cowboys,30 Dec 24
Browns,Dolphins,30 Dec 24
49ers,Lions,31 Dec 24
Week 17 of 18,,
Ravens,Browns,5 Jan 25
Raiders,Chargers,5 Jan 25
Steelers,Bengals,5 Jan 25
Cardinals,49ers,5 Jan 25
Falcons,Panthers,5 Jan 25
Broncos,Chiefs,5 Jan 25
Rams,Seahawks,5 Jan 25
Titans,Texans,5 Jan 25
Eagles,Giants,5 Jan 25
Colts,Jaguars,5 Jan 25
Lions,Vikings,5 Jan 25
Cowboys,Commanders,5 Jan 25
Packers,Bears,5 Jan 25
Jets,Dolphins,5 Jan 25
Buccaneers,Saints,5 Jan 25
Patriots,Bills,5 Jan 25
